,area_m2,lat,lon,price_usd
0,54.0,23.634501,-102.552788,323529.4117647059
1,100.0,19.279771,-99.234597,54509.82352941176
2,135.0,23.634501,-102.552788,377058.82352941175
3,87.0,19.432657,-99.177444,259764.70588235295
4,100.0,19.367025,-99.170349,185294.11764705883
5,57.0,23.634501,-102.552788,104974.64705882352
6,83.0,19.3794059,-99.1591446,192488.23529411765
7,103.0,19.36269,-99.150565,74117.64705882352
8,149.0,,,59800.64705882353
9,56.0,19.4024128,-99.0953907,79117.64705882352
10,80.0,19.35782,-99.149406,76176.4705882353
11,60.0,19.504985,-99.208557,27058.823529411766
12,120.0,19.376792,-99.153132,288235.29411764705
13,50.0,19.354219,-99.126244,105105.88235294117
14,90.0,19.367728,-99.156645,158764.70588235295
15,90.0,19.400785,-99.147419,85294.11764705883
16,114.0,19.39177,-99.159996,104180.35294117648
17,65.0,19.366632,-99.1979,44774.882352941175
18,80.0,19.400731,-99.125466,76000.0
19,83.0,,,219705.88235294117
20,61.0,19.337163,-99.080899,44000.0
21,55.0,19.435666,-99.14973,50000.0
22,120.0,19.393401,-99.165187,275294.1176470588
23,112.0,19.431629,-99.162762,125098.0
24,60.0,19.2990233,-99.0436467,59605.882352941175
25,65.0,19.453854,-99.193979,40023.529411764706
26,60.0,19.458968,-99.152898,33452.705882352944
27,90.0,19.394073,-99.153915,188235.29411764705
28,65.0,19.332034,-99.062028,40176.470588235294
29,50.0,19.305214,-99.046887,18943.529411764706
30,147.0,19.387245,-99.147388,138235.29411764705
31,63.0,19.366081,-99.139389,118117.64705882352
32,64.0,19.370272,-99.149127,41529.41176470588
33,70.0,19.386715,-99.143999,89117.64705882352
34,70.0,19.458968,-99.152898,33452.705882352944
35,70.0,19.445471,-99.17317,76176.4705882353
36,70.0,19.443903,-99.171681,58549.0
37,100.0,19.314831,-99.140445,65862.17647058824
38,86.0,19.317741,-99.119331,69941.17647058824
39,80.0,19.305984,-99.127341,119823.5294117647
40,60.0,19.365843,-99.149901,85882.35294117648
41,80.0,19.365843,-99.149901,88235.29411764706
42,90.0,19.399841,-99.154813,76588.23529411765
43,73.0,19.394073,-99.153915,173529.41176470587
44,70.0,19.465454,-99.162665,62352.94117647059
45,52.0,19.405298,-99.164986,174667.64705882352
46,90.0,23.634501,-102.552788,176470.58823529413
47,69.0,19.334546,-99.207876,69070.58823529411
48,56.0,,,176470.58823529413
49,69.0,19.403312,-99.151204,147235.29411764705
50,70.0,19.376392,-99.192439,41354.41176470588
51,80.0,19.416439,-99.125632,46164.705882352944
52,70.0,19.401456,-99.146787,101764.70588235294
53,54.0,19.4045899,-99.0601489,52882.35294117647
54,84.0,19.4169673,-99.1658498,288235.29411764705
55,97.0,19.400249,-99.177444,220588.23529411765
56,62.0,19.4553585442,-99.1632923484,111123.5294117647
57,90.0,19.440749,-99.141649,88823.5294117647
58,90.0,19.484532,-99.207027,86127.41176470589
59,97.0,19.379376,-99.165182,188235.29411764705
60,98.0,19.389044,-99.179657,58823.529411764706
61,110.0,19.478473,-99.120734,138235.29411764705
62,98.0,19.469769,-99.157379,144757.5294117647
63,85.0,19.452143,-99.181477,74196.82352941176
64,65.0,19.3499358,-99.2906864,164705.88235294117
65,74.0,19.3807458,-99.1553016,172705.88235294117
66,64.0,19.386551,-99.193708,105882.35294117648
67,64.0,19.466822,-99.157379,85294.11764705883
68,63.0,19.370501,-99.139389,121082.35294117648
69,150.0,19.382986,-99.241837,201176.4705882353
70,75.0,19.462425,-99.17654,35529.41176470588
71,105.0,19.408904,-99.174556,119372.5294117647
72,75.0,19.474885,-99.188231,79411.76470588235
73,56.0,19.36994,-99.007399,34294.117647058825
74,93.0,19.358585,-99.185753,251711.76470588235
75,70.0,19.379525,-99.188914,61294.117647058825
76,80.0,19.400731,-99.125466,76000.0
77,110.0,19.4124708,-99.1717827,238235.29411764705
78,80.0,19.428324,-99.176337,195642.9411764706
79,70.0,19.480501,-99.178139,51176.470588235294
80,64.0,,,150976.4705882353
